candidate_id,sentence_marked,sentence,head_form,head_children,family_status,peripheral_subtype,auxiliary_type,participial_predicate,agent_realization,promotion_type,eventive_stative,syntactic_environment,subject_role_profile,notes,pilot_order
gum|train|GUM_news_soccer-25|14,"Panama 's attempt in the 54th minute , by Michael Murillo , was [[saved]] by Thibaut Courtois .","Panama's attempt in the 54th minute, by Michael Murillo, was saved by Thibaut Courtois.",saved,3:nsubj:pass:attempt;13:aux:pass:was;16:obl:agent:Thibaut;18:punct:.,,,,,,,,,,,77
ewt|train|newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0131|18,10 - Number of fellow members from the Yale secret society Skull and Bones that Bush has [[named]] to important positions ( including the Associate Attorney General Robert McCallum Jr. and SEC chief Bill Donaldson ) .,10 - Number of fellow members from the Yale secret society Skull and Bones that Bush has named to important positions (including the Associate Attorney General Robert McCallum Jr. and SEC chief Bill Donaldson).,named,15:obj:that;16:nsubj:Bush;17:aux:has;21:obl:positions,,,,,,,,,,,78
gum|train|GUM_podcast_movie-61|8,And that 's the way it 's [[been]] .,And that's the way it's been.,been,6:nsubj:it;7:aux:'s,,,,,,,,,,,79
gum|train|GUM_fiction_wedding-6|12,The Chemical Wedding by Christian Rosencreutz is the way I ’ve [[decided]] to present the title of this book .,The Chemical Wedding by Christian Rosencreutz is the way I’ve decided to present the title of this book.,decided,10:nsubj:I;11:aux:’ve;14:xcomp:present,,,,,,,,,,,80
gum|train|GUM_conversation_erasmus-55|22,"The whore reason prefers to submit to the Devil , adjusts to all situations , and proves everything , that is [[demanded]] of her .","The whore reason prefers to submit to the Devil, adjusts to all situations, and proves everything, that is demanded of her.",demanded,"19:punct:,;20:nsubj:pass:that;21:aux:pass:is;24:obl:her",,,,,,,,,,,81
ewt|train|newsgroup-groups.google.com_humanities.lit.authors.shakespeare_0018a7697318f71f_ENG_20031006_163200-0048|40,"Long before ( September 1560 ) Dr. Lopez had been the personal house doctor of Robert Dudley and the good doctor was obligated to write the death certificate for Amy Robsart ( stating that she had "" accidentally "" [[fallen]] down the stairs ) .","Long before (September 1560) Dr. Lopez had been the personal house doctor of Robert Dudley and the good doctor was obligated to write the death certificate for Amy Robsart (stating that she had ""accidentally"" fallen down the stairs).",fallen,34:mark:that;35:nsubj:she;36:aux:had;38:advmod:accidentally;43:obl:stairs,,,,,,,,,,,82
gum|train|GUM_speech_maiden-34|62,"I mention the historic nature of Vice President HARRIS ’ ascendance , but let ’s not forget that her successor , ALEX PADILLA , is the first Latino Senator to represent California ; that RAFAEL WARNOCK , born while Georgia was represented in this Chamber by two staunch segregationists , is now the first African - American Senator Georgia has ever [[elected]] ; and that JOHN OSSOFF is the first Jewish Senator from his State , sworn in today on a book of Hebrew Scripture once owned by the rabbi , who , decades ago , formed a bond between the Jewish and African - American communities of Georgia .","I mention the historic nature of Vice President HARRIS’ ascendance, but let’s not forget that her successor, ALEX PADILLA, is the first Latino Senator to represent California; that RAFAEL WARNOCK, born while Georgia was represented in this Chamber by two staunch segregationists, is now the first African-American Senator Georgia has ever elected; and that JOHN OSSOFF is the first Jewish Senator from his State, sworn in today on a book of Hebrew Scripture once owned by the rabbi, who, decades ago, formed a bond between the Jewish and African-American communities of Georgia.",elected,59:nsubj:Georgia;60:aux:has;61:advmod:ever,,,,,,,,,,,83
gum|train|GUM_textbook_anthropology-41|12,"While a great deal of very important cultural content is deliberately [[conveyed]] in these systematic contexts , the greater part of culture is acquired unconsciously by happenstance — that is , nobody planned to teach it , and no one made an effort to consciously try to learn it .","While a great deal of very important cultural content is deliberately conveyed in these systematic contexts, the greater part of culture is acquired unconsciously by happenstance—that is, nobody planned to teach it, and no one made an effort to consciously try to learn it.",conveyed,"1:mark:While;4:nsubj:pass:deal;10:aux:pass:is;11:advmod:deliberately;16:obl:contexts;17:punct:,",,,,,,,,,,,84
ewt|train|email-enronsent39_01-0011|10,"Following the Board meeting on Wednesday , you are [[invited]] to join with members of the DISCO Forum for a Wednesday evening reception and dinner , including a guest speaker .","Following the Board meeting on Wednesday, you are invited to join with members of the DISCO Forum for a Wednesday evening reception and dinner, including a guest speaker.",invited,4:obl:meeting;8:nsubj:pass:you;9:aux:pass:are;12:xcomp:join;31:punct:.,,,,,,,,,,,85
gum|train|GUM_news_defector-20|49,"Rathbun wrote , "" Moxon proceeded to lie to Daniel that the hard drives were never returned , and made a convincing case ( not difficult to do with a 19 year old who does not even know the three branches of government ) that Daniel would be [[put]] behind iron bars for a good long time , UNLESS of course , he returned and cooperated with Moxon and routed out properly . ""","Rathbun wrote, ""Moxon proceeded to lie to Daniel that the hard drives were never returned, and made a convincing case (not difficult to do with a 19 year old who does not even know the three branches of government) that Daniel would be put behind iron bars for a good long time, UNLESS of course, he returned and cooperated with Moxon and routed out properly.""",put,45:mark:that;46:nsubj:pass:Daniel;47:aux:would;48:aux:pass:be;52:obl:bars;57:obl:time;64:advcl:returned,,,,,,,,,,,86
ewt|train|reviews-374604-0002|5,If the animals are [[treated]] in the same way the customers are treated then this leaves a lot to be desired !,If the animals are treated in the same way the customers are treated then this leaves a lot to be desired!,treated,1:mark:If;3:nsubj:pass:animals;4:aux:pass:are;9:obl:way,,,,,,,,,,,87
ewt|dev|email-enronsent28_02-0019|6,"The information contained herein is [[based]] on sources that we believe to be reliable , but we do not represent that it is accurate or complete .","The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.",based,2:nsubj:pass:information;5:aux:pass:is;8:obl:sources;20:conj:represent;27:punct:.,,,,,,,,,,,88
ewt|train|answers-20111108075853AAUIKRQ_ans-0008|8,ur answers and reviews wud be highly [[appreciated]] ....... thanks !!!!!!!,ur answers and reviews wud be highly appreciated.......thanks!!!!!!!,appreciated,2:nsubj:pass:answers;5:aux:wud;6:aux:pass:be;7:advmod:highly;10:discourse:thanks,,,,,,,,,,,89
ewt|test|weblog-juancole.com_juancole_20030914114200_ENG_20030914_114200-0001|30,"Angry crowds chanted anti-American slogans in the western city of Falluja ( pop. 256,000 ) as the security police killed in a friendly fire incident by US troops were [[buried]] on Saturday .","Angry crowds chanted anti-American slogans in the western city of Falluja (pop. 256,000) as the security police killed in a friendly fire incident by US troops were buried on Saturday.",buried,16:mark:as;19:nsubj:pass:police;29:aux:pass:were;32:obl:Saturday,,,,,,,,,,,90
gum|train|GUM_bio_hadid-6|3,"She was [[described]] by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . ""","She was described by The Guardian of London as the 'Queen of the curve', who ""liberated architectural geometry, giving it a whole new expressive identity.""",described,1:nsubj:pass:She;2:aux:pass:was;6:obl:agent:Guardian;12:obl:Queen,,,,,,,,,,,91
ewt|train|newsgroup-groups.google.com_emails_ec0a1064de05e74b_ENG_20040929_023800-0024|20,Bob Noyce and Gordon Moore wanted to name their new company ' Moore Noyce ' but that was already [[trademarked]] by a hotel chain so they had to settle for an acronym of INTegrated ELectronics .,Bob Noyce and Gordon Moore wanted to name their new company 'Moore Noyce' but that was already trademarked by a hotel chain so they had to settle for an acronym of INTegrated ELectronics.,trademarked,16:cc:but;17:nsubj:pass:that;18:aux:pass:was;19:advmod:already;24:obl:agent:chain;27:parataxis:had,,,,,,,,,,,92
ewt|train|reviews-007403-0009|9,I would appreciate reviews from anyone who has [[worked]] with me before in the mental health setting .,I would appreciate reviews from anyone who has worked with me before in the mental health setting.,worked,7:nsubj:who;8:aux:has;11:obl:me;12:advmod:before;17:obl:setting,,,,,,,,,,,93
ewt|train|reviews-003418-0012|6,"Not only am I being [[bilked]] for money I do not owe , the office staff is rude to boot .","Not only am I being bilked for money I do not owe, the office staff is rude to boot.",bilked,1:advmod:Not;2:advmod:only;3:aux:am;4:nsubj:pass:I;5:aux:pass:being;8:obl:money;18:parataxis:rude;21:punct:.,,,,,,,,,,,94
gum|train|GUM_news_hackers-20|26,"Posts on the message board for the Scientology - critic site Operation Clambake from Friday theorized that a denial - of - service attack had [[occurred]] , and wrote that as of Friday the Scientology.org site was either not loading at all , or loading very slowly .","Posts on the message board for the Scientology-critic site Operation Clambake from Friday theorized that a denial-of-service attack had occurred, and wrote that as of Friday the Scientology.org site was either not loading at all, or loading very slowly.",occurred,17:mark:that;24:nsubj:attack;25:aux:had,,,,,,,,,,,95
gum|test|GUM_voyage_oakland-3|21,"Often overshadowed by San Francisco , its larger neighbor lying directly to the west , Oakland has in recent years [[began]] to step out from under the shadows , playing upon the beautiful highlights of its own and its rise as the multicultural "" hipster ' city of the Bay Area .","Often overshadowed by San Francisco, its larger neighbor lying directly to the west, Oakland has in recent years began to step out from under the shadows, playing upon the beautiful highlights of its own and its rise as the multicultural ""hipster' city of the Bay Area.",began,2:advcl:overshadowed;16:nsubj:Oakland;17:aux:has;20:obl:years;23:xcomp:step;30:advcl:playing;52:punct:.,,,,,,,,,,,96
gum|train|GUM_bio_theodorus-30|13,"Yet in spite of this somewhat unstable shifting , the Koinonia was [[ruled]] peacefully for nearly two decades , at which point Theodorus predicted he would soon die .","Yet in spite of this somewhat unstable shifting, the Koinonia was ruled peacefully for nearly two decades, at which point Theodorus predicted he would soon die.",ruled,1:cc:Yet;3:obl:spite;11:nsubj:pass:Koinonia;12:aux:pass:was;14:advmod:peacefully;18:obl:decades;29:punct:.,,,,,,,,,,,97
gum|train|GUM_court_prince-54|45,"No , respectfully , Your Honor , that 's not right , because what they claimed in their -- in their brief -- in their complaint , and this is at JA 120 to 121 , was that they said that we were not [[allowed]] to invoke our copyright in the works .","No, respectfully, Your Honor, that's not right, because what they claimed in their -- in their brief -- in their complaint, and this is at JA 120 to 121, was that they said that we were not allowed to invoke our copyright in the works.",allowed,41:mark:that;42:nsubj:pass:we;43:aux:pass:were;44:advmod:not;47:xcomp:invoke,,,,,,,,,,,98
ewt|train|answers-20111101180811AAZtKpz_ans-0014|10,I have never eaten at the ones you have [[listed]] nor do I know of anyone who has .,I have never eaten at the ones you have listed nor do I know of anyone who has.,listed,8:nsubj:you;9:aux:have,,,,,,,,,,,99
ewt|train|weblog-blogspot.com_dakbangla_20041028153019_ENG_20041028_153019-0031|6,"Since then , India has [[talked]] peace while always signaling that only the status quo would be acceptable as a final settlement : a line of action that is followed in the case of disputes with China as well .","Since then, India has talked peace while always signaling that only the status quo would be acceptable as a final settlement: a line of action that is followed in the case of disputes with China as well.",talked,2:obl:then;4:nsubj:India;5:aux:has;7:obj:peace;10:advcl:signaling;25:parataxis:line,,,,,,,,,,,100
